GPS, Latitude, Longitude, Date and Time 

GPS3,0.000000,0.000000,0.000,,
GPS2,0.000000,0.000000,0.000,,
GPS1,0.000000,0.000000,0.000,,
GPS3,0.000000,0.000000,0.000,,
GPS1,0.000000,0.000000,0.000,,
GPS2,0.000000,0.000000,0.000,,
GPS3,0.000000,0.000000,0.000,,
GPS3,48.780967,11.475488,0.000,23-3-2023,14:39:50
GPS2,48.781017,11.475526,0.000,23-3-2023,14:39:50
GPS1,48.780933,11.475433,0.000,23-3-2023,14:39:50
GPS3,48.780967,11.475488,0.000,23-3-2023,14:39:50
GPS2,48.781017,11.475526,0.000,23-3-2023,14:39:50
GPS1,48.780933,11.475433,0.000,23-3-2023,14:39:50
GPS1,48.780933,11.475433,0.000,23-3-2023,14:39:50
GPS2,48.781017,11.475526,0.000,23-3-2023,14:39:50
GPS3,48.780975,11.475486,0.000,23-3-2023,14:39:59
GPS2,48.781013,11.475529,0.000,23-3-2023,14:39:59
GPS1,48.780948,11.475444,0.000,23-3-2023,14:39:59
GPS3,48.780975,11.475486,0.000,23-3-2023,14:39:59
GPS2,48.781013,11.475529,0.000,23-3-2023,14:39:59
GPS1,48.780948,11.475444,0.000,23-3-2023,14:39:59
GPS1,48.780948,11.475444,0.000,23-3-2023,14:39:59
GPS3,48.780975,11.475500,0.000,23-3-2023,14:40:7
GPS2,48.781013,11.475537,0.000,23-3-2023,14:40:7
GPS1,48.780952,11.475448,0.000,23-3-2023,14:40:7
GPS3,48.780975,11.475500,0.000,23-3-2023,14:40:7
GPS2,48.781013,11.475537,0.000,23-3-2023,14:40:7
GPS1,48.780952,11.475448,0.000,23-3-2023,14:40:7
GPS3,48.780975,11.475500,0.000,23-3-2023,14:40:7
GPS2,48.781013,11.475537,0.000,23-3-2023,14:40:7
GPS1,48.780952,11.475448,0.000,23-3-2023,14:40:7
GPS3,48.781013,11.475542,0.000,23-3-2023,14:40:17
GPS2,48.781044,11.475566,0.000,23-3-2023,14:40:17
GPS1,48.780990,11.475477,0.000,23-3-2023,14:40:17
GPS3,48.781013,11.475542,0.000,23-3-2023,14:40:17
GPS2,48.781044,11.475566,0.000,23-3-2023,14:40:17
GPS1,48.780990,11.475477,0.000,23-3-2023,14:40:17
GPS2,48.781044,11.475566,0.000,23-3-2023,14:40:17
GPS2,48.781127,11.475605,0.000,23-3-2023,14:40:25
GPS3,48.781089,11.475604,0.000,23-3-2023,14:40:25
GPS1,48.781059,11.475521,0.000,23-3-2023,14:40:25
GPS2,48.781127,11.475605,0.000,23-3-2023,14:40:25
GPS3,48.781089,11.475604,0.000,23-3-2023,14:40:25
